2022-01-03 11:47:40,618 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:47:40,620 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:48:12,171 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:48:12,173 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:48:12,175 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:48:12,177 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:52:55,579 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:52:55,581 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:52:55,583 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:52:55,586 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:54:18,052 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:54:18,054 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:54:18,056 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:54:18,058 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:54:48,183 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:54:48,185 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:54:48,187 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:54:48,189 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:57:16,074 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-03 11:57:16,076 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-03 11:57:16,078 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
